COMPRAS ;DESCRIPCION;ME ANOTO;LINK
basurero pañales;hermetico para evitar olores;;https://articulo.mercadolibre.cl/MLC-1478779419-contenedor-para-panales-no-necesita-bolsa-especial-repuesto-_JM?attributes=R3Jpcw%3D%3D%3AQkxBTkNP&quantity=1
manta gruesa 100% algodón;De polar para el frio;;
mudador;;;https://www.ikea.com/cl/es/p/vaedra-mudador-80226137/?utm_source=google&utm_medium=surfaces&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Children%C2%B4sIKEA&gad_source=4&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNmtyVYj6SG-ySqUHg-43cFmDTsSBm01pKLqf3Q7hq0wRDRNdWnxjZIaAtfZEALw_wcB
corneta luz y ruido blanco;en shein tambien se consigue;;https://www.supermom.cl/products/maquina-de-ruido-blanco-portatil-con-luz-supermom?variant=44659857326250&currency=CLP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNki_Na0aAbJSRbiHtzWMQKacRQCQFZro5BIQ_n5ajyG_GZvOFbb5yQaAh3jEALw_wcB
calentador de toallitas humedas;en shein tambien se consigue;;https://articulo.mercadolibre.cl/MLC-1646927800-calentador-toallitas-humedas-para-bebes-ninos-_JM?matt_tool=35115214&matt_word=&matt_source=google&matt_campaign_id=14572403968&matt_ad_group_id=126603518853&matt_match_type=&matt_network=g&matt_device=c&matt_creative=544459181492&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=459858871&matt_product_id=MLC1646927800&matt_product_partition_id=297209332784&matt_target_id=aud-1934078572965:pla-297209332784&cq_src=google_ads&cq_cmp=14572403968&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnPzAPrbzo8U6et4YYeMf7L-4bj5PTEpjrMN8qF-SIX4vsedZ31pPMaAh35EALw_wcB
cesta de ropa sucia;preferiblemete blanca o beige;;https://cl.hm.com/0920504002/p?idsku=259480&utm_id=go_cmp-15349436061_adg-141614006820_ad-619847327706_pla-296303633664_dev-c_ext-_prd-259480_mca-502541393_sig-Cj0KCQjw3tCyBhDBARIsAEY0XNntbnjyAtMuxfcCAg_oDOolv8zZ299UuYeEdK22G0wYPuRXbkvAaa4aAkhwEALw_wcB&utm_source=google&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNntbnjyAtMuxfcCAg_oDOolv8zZ299UuYeEdK22G0wYPuRXbkvAaa4aAkhwEALw_wcB
silla de auto;puede ser una opcion entre varios ;;https://bebesit.cl/collections/sillas-de-autos/products/s-auto-suprap360-prem
biberones etapa inicial (no repetir);avent o dr brown´s;;https://www.babytuto.com/productos/,triple-pack-mamaderas-de-plastico-natural-response-3-0-avent,249138?channable=04fa056964003234393133383c&lp&h=120&c=CL_00&p=1200&a=127&k=249138&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnytYIKOMyVm_M3WhZ6a1dTABYRQuKoyxgqGjRo5b8JG5ynqzkbN9caAoLCEALw_wcB
espejo para el auto ;;;https://www.mercadolibre.cl/espejo-retrovisor-de-auto-para-seguridad-de-ninos/p/MLC27951270?pdp_filters=category:MLC418750#searchVariation=MLC27951270&position=6&search_layout=stack&type=product&tracking_id=73ee4cfa-2df7-47ea-9b18-cf32a1dfd6af
pañalera;negra;;https://articulo.mercadolibre.cl/MLC-1063324007-mochila-3-en-1-panalera-cuna-y-mudador-portatil-para-bebes-_JM?matt_tool=92727850&matt_word=&matt_source=google&matt_campaign_id=14573895017&matt_ad_group_id=140619762693&matt_match_type=&matt_network=g&matt_device=c&matt_creative=619995856304&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=419330860&matt_product_id=MLC1063324007&matt_product_partition_id=1942482482582&matt_target_id=aud-1934078572965:pla-1942482482582&cq_src=google_ads&cq_cmp=14573895017&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNkjQW0JMVJx2YTRRRH6A7l6e07cfBO1eDDiiYp-aGiMyeECZDkONYkaAmZKEALw_wcB
organizadores;en shein tambien se consigue;;
carrito movible;blanco;;https://www.mercadolibre.cl/carro-organizador-mueble-estante-de-almacenamiento-3-nivele-color-blanco/p/MLC25862619?pdp_filters=item_id:MLC1480575651#is_advertising=true&searchVariation=MLC25862619&position=3&search_layout=grid&type=pad&tracking_id=3d194bec-197b-487b-8b63-2d485e330c5e&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=YmEyMjc5YzMtZTc0MC00YWJiLTg4MTAtMjYwMzg5MDc5MGVj
fular;negro ;;https://articulo.mercadolibre.cl/MLC-1362305489-fular-semielastico-portabebe-negro-_JM?matt_tool=92727850&matt_word=&matt_source=google&matt_campaign_id=14573895017&matt_ad_group_id=140619762693&matt_match_type=&matt_network=g&matt_device=c&matt_creative=619995856304&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=125993932&matt_product_id=MLC1362305489&matt_product_partition_id=1942482482582&matt_target_id=aud-1934078572965:pla-1942482482582&cq_src=google_ads&cq_cmp=14573895017&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNlYymXHtlI2waIlHJulJggQ40Y7rds1vKBDEcuK2t1c4YuGfJRMGFAaApA0EALw_wcB
set de cuna;COTIZAR ;;https://www.instagram.com/sabripignac/?igsh=MTlpZGZrMDd1d2Jwdg%3D%3D
lima de uñas electrica;Se puede conseguir en shein ;;https://www.supermom.cl/products/limador-de-unas-electrico-para-bebe?variant=43305711730858&currency=CLP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNknzS5e7zoyeRmBx69VVEi8ievWMMfLE4MOdbP4Mby2hZToV0ynuowaArfNEALw_wcB
cepillo de pelo / set cuidado de bebe;;;https://www.mercadolibre.cl/set-de-cuidado-para-bebes-safety-1st-kit-de-aseo-y-salud-lila-lila-x-24/p/MLC22893729?pdp_filters=category:MLC418771#searchVariation=MLC22893729&position=3&search_layout=stack&type=product&tracking_id=abb9e102-fc76-49b3-a131-8b148e9ca90e
esterilizador ;;;https://www.babytuto.com/productos/,esterilizador-a-vapor-para-microonda-avent,199544?channable=04fa0569640031393935343462&lp&h=120&c=CL_00&p=1200&a=1197691&k=199544&gad_source=1&gclid=Cj0KCQjw3tCyBhDBARIsAEY0XNnw-1kKAA4VhT57DttPLU_KQV9qQVJ-gUcOT1m41hKc0ff5zkHsUYQaAl_5EALw_wcB
aspirador nasal;;;
set limpieza de mamaderas ;;;
extractor de leche manos libres;;;
saco de dormir;;;
set de clinica;primera puesta BLANCO ;;https://www.instagram.com/sabripignac/?igsh=MTlpZGZrMDd1d2Jwdg%3D%3D
